文件名,预测类别,置信度,Top2差距,分歧度,风险等级,Top1,Top2,Top3,审核结果,备注
vertical_flip_Screen Shot 2018-06-08 at 2.35.03 PM.jpg,虫伤,49.2%,0.325,0.40,HIGH,虫伤,裂果,碰伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.33.04 PM.jpg,虫伤,49.1%,0.309,0.60,HIGH,虫伤,病变,裂果,,
saltandpepper_Screen Shot 2018-06-08 at 2.47.30 PM.jpg,碰伤,49.0%,0.166,0.20,HIGH,碰伤,虫伤,腐烂,,
Screen Shot 2018-06-07 at 2.44.36 PM.jpg,褶皱,48.9%,0.060,0.40,HIGH,褶皱,腐烂,碰伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.24.02 PM.jpg,腐烂,48.9%,0.257,0.40,HIGH,腐烂,虫伤,碰伤,,
vertical_flip_Screen Shot 2018-06-08 at 2.50.22 PM.jpg,腐烂,48.8%,0.181,0.40,HIGH,腐烂,碰伤,褶皱,,
saltandpepper_Screen Shot 2018-06-08 at 2.48.15 PM.jpg,腐烂,48.7%,0.308,0.40,HIGH,腐烂,碰伤,合格,,
vertical_flip_Screen Shot 2018-06-07 at 3.05.13 PM.jpg,褶皱,48.5%,0.311,0.40,HIGH,褶皱,虫伤,病变,,
saltandpepper_Screen Shot 2018-06-08 at 2.29.20 PM.jpg,虫伤,48.5%,0.050,0.40,HIGH,虫伤,碰伤,裂果,,
saltandpepper_Screen Shot 2018-06-07 at 2.44.36 PM.jpg,碰伤,48.4%,0.027,0.40,HIGH,碰伤,腐烂,褶皱,,
Screen Shot 2018-06-08 at 2.48.09 PM.jpg,虫伤,48.4%,0.096,0.40,HIGH,虫伤,碰伤,合格,,
Screen Shot 2018-06-08 at 2.31.16 PM.jpg,碰伤,48.2%,0.246,0.40,HIGH,碰伤,虫伤,腐烂,,
Screen Shot 2018-06-08 at 2.50.22 PM.jpg,腐烂,48.1%,0.196,0.20,HIGH,腐烂,碰伤,褶皱,,
saltandpepper_Screen Shot 2018-06-08 at 2.31.03 PM.jpg,虫伤,48.1%,0.314,0.60,HIGH,虫伤,碰伤,裂果,,
saltandpepper_Screen Shot 2018-06-07 at 2.18.57 PM.jpg,碰伤,48.0%,0.323,0.60,HIGH,碰伤,腐烂,合格,,
Screen Shot 2018-06-07 at 2.42.37 PM.jpg,褶皱,48.0%,0.224,0.40,HIGH,褶皱,合格,腐烂,,
vertical_flip_Screen Shot 2018-06-08 at 2.31.16 PM.jpg,碰伤,48.0%,0.232,0.40,HIGH,碰伤,虫伤,腐烂,,
saltandpepper_Screen Shot 2018-06-08 at 2.48.00 PM.jpg,碰伤,47.9%,0.065,0.40,HIGH,碰伤,褶皱,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 2.55.27 PM.jpg,碰伤,47.9%,0.275,0.20,HIGH,碰伤,褶皱,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 3.00.56 PM.jpg,碰伤,47.8%,0.266,0.40,HIGH,碰伤,合格,虫伤,,
Screen Shot 2018-06-08 at 2.42.30 PM.jpg,碰伤,47.7%,0.218,0.60,HIGH,碰伤,合格,腐烂,,
Screen Shot 2018-06-08 at 2.39.26 PM.jpg,虫伤,47.4%,0.113,0.40,HIGH,虫伤,腐烂,褶皱,,
saltandpepper_Screen Shot 2018-06-07 at 2.23.24 PM.jpg,虫伤,47.4%,0.280,0.40,HIGH,虫伤,合格,碰伤,,
Screen Shot 2018-06-07 at 2.52.00 PM.jpg,虫伤,47.3%,0.146,0.40,HIGH,虫伤,碰伤,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 2.42.37 PM.jpg,腐烂,47.2%,0.205,0.60,HIGH,腐烂,褶皱,碰伤,,
saltandpepper_Screen Shot 2018-06-07 at 3.06.22 PM.jpg,腐烂,47.2%,0.006,0.40,HIGH,腐烂,碰伤,虫伤,,
vertical_flip_Screen Shot 2018-06-08 at 2.38.54 PM.jpg,虫伤,47.1%,0.091,0.60,HIGH,虫伤,腐烂,碰伤,,
Screen Shot 2018-06-07 at 2.59.23 PM.jpg,虫伤,46.9%,0.286,0.60,HIGH,虫伤,褶皱,病变,,
Screen Shot 2018-06-07 at 3.03.38 PM.jpg,碰伤,46.8%,0.234,0.40,HIGH,碰伤,虫伤,合格,,
vertical_flip_Screen Shot 2018-06-08 at 2.26.14 PM.jpg,虫伤,46.6%,0.062,0.40,HIGH,虫伤,腐烂,碰伤,,
Screen Shot 2018-06-08 at 2.26.44 PM.jpg,合格,46.6%,0.050,0.40,HIGH,合格,褶皱,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 2.20.29 PM.jpg,碰伤,46.5%,0.158,0.40,HIGH,碰伤,腐烂,虫伤,,
Screen Shot 2018-06-07 at 3.03.31 PM.jpg,褶皱,46.5%,0.137,0.60,HIGH,褶皱,虫伤,合格,,
vertical_flip_Screen Shot 2018-06-08 at 2.41.54 PM.jpg,碰伤,46.5%,0.329,0.60,HIGH,碰伤,褶皱,合格,,
Screen Shot 2018-06-08 at 2.31.08 PM.jpg,碰伤,46.4%,0.175,0.40,HIGH,碰伤,虫伤,合格,,
saltandpepper_Screen Shot 2018-06-08 at 2.52.43 PM.jpg,虫伤,46.4%,0.042,0.40,HIGH,虫伤,腐烂,碰伤,,
Screen Shot 2018-06-08 at 2.26.09 PM.jpg,虫伤,46.3%,0.328,0.60,HIGH,虫伤,合格,碰伤,,
Screen Shot 2018-06-08 at 2.36.43 PM.jpg,合格,46.3%,0.176,0.40,HIGH,合格,腐烂,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.19.15 PM.jpg,褶皱,46.1%,0.238,0.40,HIGH,褶皱,虫伤,碰伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.42.18 PM.jpg,碰伤,45.8%,0.198,0.40,HIGH,碰伤,合格,虫伤,,
Screen Shot 2018-06-08 at 2.31.45 PM.jpg,碰伤,45.7%,0.122,0.40,HIGH,碰伤,虫伤,合格,,
vertical_flip_Screen Shot 2018-06-08 at 2.31.03 PM.jpg,虫伤,45.6%,0.232,0.60,HIGH,虫伤,腐烂,裂果,,
Screen Shot 2018-06-07 at 2.55.27 PM.jpg,褶皱,45.4%,0.275,0.60,HIGH,褶皱,黑斑,腐烂,,
vertical_flip_Screen Shot 2018-06-07 at 3.03.12 PM.jpg,黑斑,45.3%,0.063,0.40,HIGH,黑斑,虫伤,碰伤,,
vertical_flip_Screen Shot 2018-06-08 at 2.40.38 PM.jpg,虫伤,45.1%,0.097,0.40,HIGH,虫伤,褶皱,腐烂,,
Screen Shot 2018-06-08 at 2.32.42 PM.jpg,虫伤,45.1%,0.224,0.40,HIGH,虫伤,褶皱,腐烂,,
vertical_flip_Screen Shot 2018-06-07 at 2.17.25 PM.jpg,褶皱,45.1%,0.158,0.60,HIGH,褶皱,虫伤,腐烂,,
Screen Shot 2018-06-07 at 3.05.29 PM.jpg,虫伤,44.9%,0.265,0.60,HIGH,虫伤,腐烂,褶皱,,
Screen Shot 2018-06-07 at 3.04.47 PM.jpg,腐烂,44.8%,0.143,0.40,HIGH,腐烂,虫伤,褶皱,,
Screen Shot 2018-06-08 at 2.31.03 PM.jpg,虫伤,44.8%,0.228,0.60,HIGH,虫伤,裂果,腐烂,,
saltandpepper_Screen Shot 2018-06-08 at 2.25.17 PM.jpg,褶皱,44.6%,0.242,0.40,HIGH,褶皱,碰伤,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 3.05.38 PM.jpg,虫伤,44.5%,0.123,0.40,HIGH,虫伤,碰伤,腐烂,,
vertical_flip_Screen Shot 2018-06-08 at 2.35.32 PM.jpg,碰伤,44.5%,0.098,0.60,HIGH,碰伤,虫伤,腐烂,,
Screen Shot 2018-06-07 at 2.46.32 PM.jpg,碰伤,44.5%,0.007,0.40,HIGH,碰伤,合格,虫伤,,
Screen Shot 2018-06-07 at 2.47.20 PM.jpg,褶皱,44.2%,0.164,0.60,HIGH,褶皱,腐烂,病变,,
saltandpepper_Screen Shot 2018-06-08 at 2.37.24 PM.jpg,碰伤,44.2%,0.058,0.40,HIGH,碰伤,合格,黑斑,,
vertical_flip_Screen Shot 2018-06-07 at 2.42.37 PM.jpg,褶皱,44.1%,0.114,0.60,HIGH,褶皱,腐烂,合格,,
vertical_flip_Screen Shot 2018-06-08 at 2.38.08 PM.jpg,腐烂,43.9%,0.272,0.60,HIGH,腐烂,碰伤,裂果,,
Screen Shot 2018-06-07 at 3.05.53 PM.jpg,合格,43.7%,0.132,0.60,HIGH,合格,碰伤,腐烂,,
Screen Shot 2018-06-07 at 2.18.57 PM.jpg,合格,43.7%,0.174,0.40,HIGH,合格,腐烂,裂果,,
vertical_flip_Screen Shot 2018-06-08 at 2.37.53 PM.jpg,虫伤,43.6%,0.062,0.40,HIGH,虫伤,腐烂,褶皱,,
vertical_flip_Screen Shot 2018-06-08 at 2.49.27 PM.jpg,碰伤,43.6%,0.042,0.60,HIGH,碰伤,腐烂,合格,,
saltandpepper_Screen Shot 2018-06-08 at 2.40.38 PM.jpg,褶皱,43.6%,0.164,0.40,HIGH,褶皱,虫伤,腐烂,,
Screen Shot 2018-06-07 at 3.04.58 PM.jpg,虫伤,43.5%,0.305,0.60,HIGH,虫伤,合格,褶皱,,
Screen Shot 2018-06-07 at 2.50.43 PM.jpg,碰伤,43.3%,0.132,0.40,HIGH,碰伤,虫伤,合格,,
vertical_flip_Screen Shot 2018-06-07 at 2.44.36 PM.jpg,褶皱,43.3%,0.116,0.40,HIGH,褶皱,碰伤,腐烂,,
Screen Shot 2018-06-08 at 2.30.45 PM.jpg,虫伤,43.0%,0.158,0.40,HIGH,虫伤,腐烂,裂果,,
saltandpepper_Screen Shot 2018-06-07 at 2.56.34 PM.jpg,虫伤,42.9%,0.169,0.60,HIGH,虫伤,碰伤,腐烂,,
vertical_flip_Screen Shot 2018-06-08 at 2.48.09 PM.jpg,碰伤,42.8%,0.013,0.40,HIGH,碰伤,虫伤,裂果,,
Screen Shot 2018-06-07 at 2.38.04 PM.jpg,碰伤,42.7%,0.237,0.60,HIGH,碰伤,褶皱,腐烂,,
vertical_flip_Screen Shot 2018-06-07 at 2.40.48 PM.jpg,虫伤,42.6%,0.072,0.40,HIGH,虫伤,腐烂,碰伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.41.16 PM.jpg,碰伤,42.6%,0.101,0.40,HIGH,碰伤,裂果,腐烂,,
vertical_flip_Screen Shot 2018-06-08 at 2.32.42 PM.jpg,虫伤,42.6%,0.203,0.60,HIGH,虫伤,褶皱,裂果,,
Screen Shot 2018-06-08 at 2.47.30 PM.jpg,虫伤,42.6%,0.093,0.60,HIGH,虫伤,腐烂,碰伤,,
Screen Shot 2018-06-08 at 2.29.10 PM.jpg,碰伤,42.6%,0.234,0.60,HIGH,碰伤,褶皱,虫伤,,
Screen Shot 2018-06-07 at 2.19.15 PM.jpg,褶皱,42.5%,0.185,0.40,HIGH,褶皱,虫伤,碰伤,,
Screen Shot 2018-06-07 at 2.59.52 PM.jpg,腐烂,42.5%,0.001,0.40,HIGH,腐烂,虫伤,合格,,
Screen Shot 2018-06-08 at 2.52.57 PM.jpg,虫伤,42.5%,0.098,0.60,HIGH,虫伤,碰伤,腐烂,,
saltandpepper_Screen Shot 2018-06-08 at 2.45.05 PM.jpg,褶皱,42.4%,0.265,0.60,HIGH,褶皱,虫伤,病变,,
vertical_flip_Screen Shot 2018-06-07 at 2.44.26 PM.jpg,碰伤,42.4%,0.294,0.60,HIGH,碰伤,黑斑,褶皱,,
saltandpepper_Screen Shot 2018-06-07 at 2.22.39 PM.jpg,腐烂,42.2%,0.132,0.40,HIGH,腐烂,碰伤,虫伤,,
Screen Shot 2018-06-07 at 2.45.18 PM.jpg,褶皱,42.1%,0.130,0.60,HIGH,褶皱,腐烂,虫伤,,
saltandpepper_Screen Shot 2018-06-07 at 3.17.32 PM.jpg,褶皱,42.0%,0.219,0.60,HIGH,褶皱,腐烂,碰伤,,
vertical_flip_Screen Shot 2018-06-08 at 2.37.13 PM.jpg,病变,41.9%,0.103,0.40,HIGH,病变,褶皱,虫伤,,
Screen Shot 2018-06-07 at 2.57.49 PM.jpg,碰伤,41.8%,0.161,0.40,HIGH,碰伤,虫伤,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 2.51.37 PM.jpg,褶皱,41.7%,0.104,0.40,HIGH,褶皱,腐烂,虫伤,,
Screen Shot 2018-06-07 at 2.37.20 PM.jpg,腐烂,41.7%,0.157,0.60,HIGH,腐烂,褶皱,合格,,
vertical_flip_Screen Shot 2018-06-08 at 2.39.35 PM.jpg,虫伤,41.7%,0.251,0.60,HIGH,虫伤,腐烂,碰伤,,
Screen Shot 2018-06-08 at 2.39.21 PM.jpg,腐烂,41.7%,0.103,0.40,HIGH,腐烂,虫伤,碰伤,,
Screen Shot 2018-06-08 at 2.35.03 PM.jpg,虫伤,41.6%,0.221,0.60,HIGH,虫伤,裂果,黑斑,,
vertical_flip_Screen Shot 2018-06-07 at 2.57.49 PM.jpg,腐烂,41.5%,0.160,0.40,HIGH,腐烂,碰伤,虫伤,,
Screen Shot 2018-06-07 at 2.47.13 PM.jpg,褶皱,41.4%,0.098,0.60,HIGH,褶皱,腐烂,病变,,
saltandpepper_Screen Shot 2018-06-07 at 3.04.47 PM.jpg,腐烂,41.3%,0.180,0.20,HIGH,腐烂,虫伤,褶皱,,
Screen Shot 2018-06-07 at 2.42.58 PM.jpg,碰伤,41.3%,0.217,0.40,HIGH,碰伤,虫伤,黑斑,,
Screen Shot 2018-06-08 at 2.24.31 PM.jpg,腐烂,41.1%,0.219,0.40,HIGH,腐烂,碰伤,裂果,,
vertical_flip_Screen Shot 2018-06-08 at 2.25.04 PM.jpg,腐烂,41.0%,0.073,0.60,HIGH,腐烂,虫伤,碰伤,,
Screen Shot 2018-06-07 at 2.38.13 PM.jpg,黑斑,40.8%,0.072,0.60,HIGH,黑斑,合格,碰伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.50.43 PM.jpg,碰伤,40.8%,0.056,0.40,HIGH,碰伤,虫伤,合格,,
Screen Shot 2018-06-07 at 2.56.57 PM.jpg,碰伤,40.8%,0.243,0.60,HIGH,碰伤,褶皱,裂果,,
vertical_flip_Screen Shot 2018-06-07 at 2.51.37 PM.jpg,腐烂,40.7%,0.059,0.40,HIGH,腐烂,褶皱,虫伤,,
vertical_flip_Screen Shot 2018-06-08 at 2.40.56 PM.jpg,虫伤,40.7%,0.106,0.60,HIGH,虫伤,褶皱,腐烂,,
vertical_flip_Screen Shot 2018-06-07 at 2.50.52 PM.jpg,碰伤,40.7%,0.104,0.60,HIGH,碰伤,虫伤,合格,,
Screen Shot 2018-06-08 at 2.28.42 PM.jpg,腐烂,40.6%,0.007,0.40,HIGH,腐烂,虫伤,碰伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.38.04 PM.jpg,碰伤,40.5%,0.200,0.40,HIGH,碰伤,褶皱,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 2.17.25 PM.jpg,褶皱,40.3%,0.090,0.60,HIGH,褶皱,碰伤,虫伤,,
Screen Shot 2018-06-08 at 2.30.31 PM.jpg,虫伤,40.3%,0.193,0.40,HIGH,虫伤,碰伤,腐烂,,
saltandpepper_Screen Shot 2018-06-08 at 2.43.29 PM.jpg,虫伤,40.3%,0.142,0.40,HIGH,虫伤,合格,褶皱,,
Screen Shot 2018-06-08 at 2.40.38 PM.jpg,虫伤,40.2%,0.025,0.40,HIGH,虫伤,褶皱,腐烂,,
Screen Shot 2018-06-07 at 2.40.48 PM.jpg,虫伤,40.2%,0.114,0.60,HIGH,虫伤,腐烂,碰伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.38.28 PM.jpg,黑斑,40.2%,0.096,0.60,HIGH,黑斑,合格,碰伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.52.00 PM.jpg,碰伤,40.0%,0.001,0.40,HIGH,碰伤,虫伤,合格,,
Screen Shot 2018-06-08 at 2.49.27 PM.jpg,碰伤,39.8%,0.017,0.40,HIGH,碰伤,腐烂,合格,,
vertical_flip_Screen Shot 2018-06-08 at 2.39.21 PM.jpg,腐烂,39.7%,0.025,0.40,HIGH,腐烂,虫伤,碰伤,,
Screen Shot 2018-06-08 at 2.41.16 PM.jpg,裂果,39.7%,0.065,0.60,HIGH,裂果,碰伤,腐烂,,
vertical_flip_Screen Shot 2018-06-08 at 2.47.30 PM.jpg,虫伤,39.6%,0.111,0.60,HIGH,虫伤,腐烂,碰伤,,
vertical_flip_Screen Shot 2018-06-08 at 2.52.05 PM.jpg,腐烂,39.6%,0.113,0.40,HIGH,腐烂,虫伤,碰伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.28.00 PM.jpg,虫伤,39.5%,0.116,0.60,HIGH,虫伤,碰伤,腐烂,,
saltandpepper_Screen Shot 2018-06-08 at 2.40.46 PM.jpg,黑斑,39.5%,0.018,0.40,HIGH,黑斑,碰伤,腐烂,,
Screen Shot 2018-06-08 at 2.30.51 PM.jpg,裂果,39.4%,0.178,0.60,HIGH,裂果,碰伤,褶皱,,
vertical_flip_Screen Shot 2018-06-08 at 2.36.43 PM.jpg,合格,39.4%,0.129,0.40,HIGH,合格,腐烂,虫伤,,
vertical_flip_Screen Shot 2018-06-08 at 2_腐烂_pred_碰伤.jpg,合格,39.4%,0.129,0.40,HIGH,合格,腐烂,虫伤,,
vertical_flip_Screen Shot 2018-06-08 at 2.26.09 PM.jpg,虫伤,39.3%,0.247,0.60,HIGH,虫伤,合格,褶皱,,
saltandpepper_Screen Shot 2018-06-08 at 2.28.42 PM.jpg,腐烂,39.2%,0.074,0.60,HIGH,腐烂,虫伤,碰伤,,
vertical_flip_Screen Shot 2018-06-07 at 3.05.29 PM.jpg,虫伤,39.2%,0.198,0.60,HIGH,虫伤,褶皱,腐烂,,
vertical_flip_Screen Shot 2018-06-07 at 2.20.34 PM.jpg,褶皱,38.7%,0.105,0.40,HIGH,褶皱,碰伤,虫伤,,
Screen Shot 2018-06-07 at 2.20.34 PM.jpg,褶皱,38.6%,0.188,0.40,HIGH,褶皱,碰伤,虫伤,,
Screen Shot 2018-06-07 at 2.58.47 PM.jpg,碰伤,38.4%,0.194,0.60,HIGH,碰伤,褶皱,合格,,
Screen Shot 2018-06-07 at 2.42.18 PM.jpg,碰伤,38.2%,0.084,0.60,HIGH,碰伤,虫伤,褶皱,,
vertical_flip_Screen Shot 2018-06-07 at 2.40.55 PM.jpg,碰伤,38.2%,0.108,0.60,HIGH,碰伤,腐烂,合格,,
vertical_flip_Screen Shot 2018-06-08 at 2.28.23 PM.jpg,碰伤,38.2%,0.142,0.60,HIGH,碰伤,腐烂,裂果,,
Screen Shot 2018-06-07 at 2.37.11 PM.jpg,腐烂,37.9%,0.032,0.60,HIGH,腐烂,合格,褶皱,,
vertical_flip_Screen Shot 2018-06-07 at 3.05.53 PM.jpg,合格,37.9%,0.068,0.20,HIGH,合格,碰伤,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 2.53.20 PM.jpg,虫伤,37.8%,0.164,0.60,HIGH,虫伤,腐烂,裂果,,
saltandpepper_Screen Shot 2018-06-07 at 3.03.31 PM.jpg,褶皱,37.7%,0.108,0.40,HIGH,褶皱,虫伤,合格,,
vertical_flip_Screen Shot 2018-06-07 at 2.54.08 PM.jpg,虫伤,37.7%,0.138,0.60,HIGH,虫伤,碰伤,裂果,,
vertical_flip_Screen Shot 2018-06-07 at 3.01.38 PM.jpg,褶皱,37.7%,0.077,0.60,HIGH,褶皱,腐烂,裂果,,
saltandpepper_Screen Shot 2018-06-07 at 3.17.25 PM.jpg,碰伤,37.5%,0.120,0.60,HIGH,碰伤,合格,虫伤,,
Screen Shot 2018-06-08 at 2.33.28 PM.jpg,褶皱,37.5%,0.050,0.60,HIGH,褶皱,虫伤,碰伤,,
vertical_flip_Screen Shot 2018-06-08 at 2.45.05 PM.jpg,褶皱,37.4%,0.122,0.60,HIGH,褶皱,虫伤,病变,,
Screen Shot 2018-06-08 at 2.52.05 PM.jpg,虫伤,37.4%,0.053,0.60,HIGH,虫伤,腐烂,碰伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.23.40 PM.jpg,褶皱,37.3%,0.135,0.60,HIGH,褶皱,碰伤,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 3.01.21 PM.jpg,虫伤,37.3%,0.120,0.60,HIGH,虫伤,腐烂,褶皱,,
saltandpepper_Screen Shot 2018-06-07 at 2.47.27 PM.jpg,虫伤,37.3%,0.069,0.60,HIGH,虫伤,碰伤,褶皱,,
saltandpepper_Screen Shot 2018-06-07 at 2.33.38 PM.jpg,碰伤,37.2%,0.084,0.40,HIGH,碰伤,腐烂,虫伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.51.09 PM.jpg,碰伤,37.1%,0.097,0.60,HIGH,碰伤,褶皱,腐烂,,
Screen Shot 2018-06-07 at 2.51.37 PM.jpg,腐烂,37.1%,0.037,0.60,HIGH,腐烂,褶皱,虫伤,,
saltandpepper_Screen Shot 2018-06-07 at 3.04.35 PM.jpg,病变,36.8%,0.129,0.60,HIGH,病变,腐烂,虫伤,,
vertical_flip_Screen Shot 2018-06-08 at 2.24.15 PM.jpg,碰伤,36.6%,0.016,0.60,HIGH,碰伤,褶皱,腐烂,,
saltandpepper_Screen Shot 2018-06-08 at 2.36.23 PM.jpg,腐烂,36.5%,0.040,0.40,HIGH,腐烂,碰伤,虫伤,,
Screen Shot 2018-06-08 at 2.40.56 PM.jpg,褶皱,36.5%,0.039,0.60,HIGH,褶皱,腐烂,虫伤,,
Screen Shot 2018-06-08 at 2.30.03 PM.jpg,虫伤,36.4%,0.178,0.60,HIGH,虫伤,裂果,腐烂,,
Screen Shot 2018-06-08 at 2.30.26 PM.jpg,裂果,36.3%,0.151,0.60,HIGH,裂果,合格,褶皱,,
Screen Shot 2018-06-07 at 3.01.38 PM.jpg,腐烂,36.2%,0.005,0.60,HIGH,腐烂,褶皱,裂果,,
Screen Shot 2018-06-08 at 2.24.15 PM.jpg,褶皱,36.0%,0.144,0.60,HIGH,褶皱,腐烂,碰伤,,
Screen Shot 2018-06-08 at 2.45.05 PM.jpg,褶皱,35.9%,0.089,0.60,HIGH,褶皱,虫伤,病变,,
saltandpepper_Screen Shot 2018-06-07 at 2.47.20 PM.jpg,褶皱,35.9%,0.096,0.60,HIGH,褶皱,碰伤,腐烂,,
Screen Shot 2018-06-07 at 2.43.07 PM.jpg,碰伤,35.8%,0.024,0.60,HIGH,碰伤,虫伤,腐烂,,
saltandpepper_Screen Shot 2018-06-08 at 2.36.31 PM.jpg,碰伤,35.6%,0.082,0.40,HIGH,碰伤,腐烂,虫伤,,
Screen Shot 2018-06-07 at 3.04.35 PM.jpg,腐烂,35.6%,0.059,0.60,HIGH,腐烂,病变,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.37.20 PM.jpg,腐烂,35.5%,0.049,0.60,HIGH,腐烂,褶皱,合格,,
vertical_flip_Screen Shot 2018-06-07 at 2.37.11 PM.jpg,合格,35.5%,0.034,0.60,HIGH,合格,褶皱,腐烂,,
Screen Shot 2018-06-07 at 3.01.21 PM.jpg,虫伤,35.4%,0.058,0.40,HIGH,虫伤,腐烂,褶皱,,
vertical_flip_Screen Shot 2018-06-08 at 2.42.06 PM.jpg,腐烂,35.3%,0.125,0.40,HIGH,腐烂,褶皱,裂果,,
vertical_flip_Screen Shot 2018-06-08 at 2.44.54 PM.jpg,虫伤,35.2%,0.013,0.60,HIGH,虫伤,腐烂,褶皱,,
saltandpepper_Screen Shot 2018-06-08 at 2.42.52 PM.jpg,腐烂,35.2%,0.109,0.40,HIGH,腐烂,碰伤,褶皱,,
saltandpepper_Screen Shot 2018-06-07 at 3.01.21 PM.jpg,腐烂,35.1%,0.079,0.60,HIGH,腐烂,虫伤,碰伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.23.48 PM.jpg,碰伤,35.0%,0.095,0.60,HIGH,碰伤,合格,虫伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.52.05 PM.jpg,虫伤,35.0%,0.054,0.60,HIGH,虫伤,碰伤,腐烂,,
Screen Shot 2018-06-07 at 2.20.04 PM.jpg,碰伤,35.0%,0.199,0.60,HIGH,碰伤,病变,裂果,,
vertical_flip_Screen Shot 2018-06-08 at 2.30.31 PM.jpg,虫伤,34.9%,0.114,0.40,HIGH,虫伤,碰伤,腐烂,,
saltandpepper_Screen Shot 2018-06-08 at 2.42.06 PM.jpg,碰伤,34.8%,0.014,0.60,HIGH,碰伤,腐烂,裂果,,
saltandpepper_Screen Shot 2018-06-07 at 2.47.13 PM.jpg,褶皱,34.8%,0.073,0.60,HIGH,褶皱,腐烂,病变,,
Screen Shot 2018-06-08 at 2.41.54 PM.jpg,碰伤,34.5%,0.142,0.60,HIGH,碰伤,合格,裂果,,
saltandpepper_Screen Shot 2018-06-08 at 2.30.03 PM.jpg,虫伤,34.4%,0.126,0.60,HIGH,虫伤,碰伤,裂果,,
saltandpepper_Screen Shot 2018-06-08 at 2.21.33 PM.jpg,碰伤,34.2%,0.084,0.60,HIGH,碰伤,合格,虫伤,,
